rank,numbers,plays,source_period,source_url
1,"1 2 3 4 5 6 7",44112,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
2,"7 14 21 28 35 42 49",33810,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
3,"2 7 19 24 28 30 39",16114,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
4,"2 7 19 24 28 36 39",11760,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
5,"5 9 13 21 36 41 48",9315,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
6,"2 7 19 28 30 36 39",8864,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
7,"1 4 16 27 31 38 46",7822,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
8,"5 10 15 20 25 30 35",7564,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
9,"2 7 19 22 32 36 46",7096,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
10,"2 7 18 29 33 44 50",6160,"2025-05-25 to 2026-05-25",https://about.olg.ca/winners-and-players/ticket-information/common-number-combinations/
