run_id,hypothesis_id,backend,observable,site,bond,time,value,circuit_hash
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,0,,0.0,1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,1,,0.0,1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,2,,0.0,-1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,3,,0.0,-1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,0,0.0,1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,1,0.0,-1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,2,0.0,1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,0,,0.25,0.91015625,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,1,,0.25,0.9296875,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,2,,0.25,-0.91015625,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,3,,0.25,-0.912109375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,0,0.25,0.83984375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,1,0.25,-0.84765625,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,2,0.25,0.833984375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,0,,0.5,0.724609375,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,1,,0.5,0.72265625,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,2,,0.5,-0.73046875,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,3,,0.5,-0.6796875,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,0,0.5,0.513671875,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,1,0.5,-0.50390625,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,2,0.5,0.4921875,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,0,,1.0,0.205078125,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,1,,1.0,0.13671875,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,2,,1.0,-0.146484375,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T211935Z,gaugegap-0001,shot_sampler:none,z_expectation,3,,1.0,-0.220703125,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,0,1.0,0.033203125,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,1,1.0,0.154296875,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T211935Z,gaugegap-0001,shot_sampler:none,zz_correlator,,2,1.0,0.09765625,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
